                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2853,                 4.4124,                 4.2706,                0.00196,                0.53788,                0.00248,                0.00051,                 3.3754,                 4.6869,                 4.1601,                 0.0002,                 0.0002,                 0.0002
                      2,                 3.0314,                 4.2003,                 4.0767,                 0.0005,                0.20455,                0.00047,                 0.0001,                  3.471,                 4.6908,                  4.215,             0.00040594,             0.00040594,             0.00040594
                      3,                 2.8924,                 3.9499,                 3.7602,                0.00101,                0.41667,                0.00109,                 0.0002,                 3.9054,                 4.7831,                 4.6309,             0.00060772,             0.00060772,             0.00060772
                      4,                 2.7012,                 3.6822,                 3.5256,                0.00184,                0.57051,                0.00253,                0.00043,                  3.872,                 4.5115,                 4.6677,             0.00080535,             0.00080535,             0.00080535
                      5,                 2.4926,                 3.4526,                  3.294,                0.00243,                0.64627,                0.00287,                0.00044,                 3.8177,                  4.606,                 4.6701,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.2326,                 3.1281,                 3.0434,                0.34705,                0.04167,                0.01493,                0.00419,                 2.8902,                 6.2599,                 3.8901,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.1505,                 2.9668,                  2.935,                0.11296,                0.48922,                0.25492,                0.06401,                  2.596,                  13.93,                 3.7229,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.0746,                 2.7717,                 2.7597,                0.11377,                0.35737,                0.19133,                0.04335,                 2.6895,                 4.2222,                 3.3652,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.8934,                 2.6443,                 2.6276,                0.74363,                0.08974,                0.13239,                0.02629,                 3.0066,                 4.4021,                 4.1432,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.7705,                 2.5126,                 2.5145,                0.72568,                0.40224,                 0.3145,                0.08391,                 2.8693,                 4.5935,                 3.4377,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6783,                 2.3888,                 2.4004,                0.53233,                0.61615,                0.67451,                0.45119,                 1.4047,                 4.2285,                 2.2643,               0.000901,               0.000901,               0.000901
                     12,                 1.6598,                 2.4657,                 2.3721,                0.35945,                0.47963,                0.52268,                0.38155,                 1.2081,                 2.9636,                 2.2677,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5637,                  2.166,                 2.2235,                0.87334,                0.26279,                0.47064,                0.27787,                 1.4918,                 3.9288,                 2.1967,              0.0008812,              0.0008812,              0.0008812
                     14,                  1.397,                 2.0835,                 2.1354,                0.59626,                 0.5835,                0.71498,                0.54125,                 1.1617,                 2.5535,                 1.9696,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.3592,                 2.0561,                  2.032,                0.78523,                0.34181,                0.51224,                0.41452,                 1.1235,                 3.1277,                 2.0831,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3264,                  1.963,                 1.9914,                0.45557,                0.57318,                0.63072,                0.43004,                 1.1372,                 3.1027,                 1.9439,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.2408,                 1.9266,                  1.942,                0.65192,                0.86903,                0.86948,                0.75036,                0.87668,                  2.042,                 1.7714,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1897,                 1.7465,                 1.8419,                 0.5714,                0.85575,                 0.9215,                0.78368,                0.78152,                 1.9462,                  1.597,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1152,                  1.677,                 1.7848,                0.56734,                0.80396,                0.74286,                  0.652,                0.67778,                 1.7748,                 1.5826,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0944,                 1.6253,                  1.772,                0.74078,                0.87743,                0.90185,                0.78417,                0.78494,                 1.5923,                 1.5665,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.1448,                 1.5818,                 1.7685,                0.65304,                0.95455,                0.90709,                0.81897,                0.65839,                 1.6021,                  1.458,               0.000802,               0.000802,               0.000802
                     22,                 1.0306,                 1.5286,                  1.676,                0.81423,                0.71784,                0.92101,                0.82139,                 0.6435,                 1.5951,                 1.4399,              0.0007921,              0.0007921,              0.0007921
                     23,                0.99985,                 1.4227,                 1.6408,                0.81577,                0.93278,                0.89672,                 0.7742,                0.74256,                 1.4794,                 1.4377,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0211,                 1.4482,                 1.6346,                0.84692,                0.89833,                0.93882,                0.85535,                0.54514,                 1.2719,                 1.3248,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0072,                 1.4059,                 1.6029,                0.72081,                0.91494,                0.95235,                0.87248,                0.59563,                 1.4149,                 1.3381,              0.0007624,              0.0007624,              0.0007624
                     26,                0.94026,                   1.29,                 1.5731,                0.76673,                0.93455,                0.89223,                0.82677,                0.54794,                  1.328,                 1.3198,              0.0007525,              0.0007525,              0.0007525
                     27,                0.89839,                 1.2301,                 1.5338,                0.90333,                0.92424,                0.94768,                0.82582,                 0.6784,                 1.2397,                 1.4122,              0.0007426,              0.0007426,              0.0007426
                     28,                0.85353,                 1.1864,                  1.507,                0.77364,                0.92207,                0.95682,                0.86489,                  0.628,                 1.2678,                  1.349,              0.0007327,              0.0007327,              0.0007327
                     29,                0.86022,                 1.1722,                 1.4966,                0.89284,                0.91161,                0.95611,                 0.8957,                0.47999,                 1.4111,                 1.3363,              0.0007228,              0.0007228,              0.0007228
                     30,                0.84163,                 1.1741,                 1.4637,                0.90213,                0.88911,                0.94123,                0.88604,                0.45286,                 1.0484,                 1.2088,              0.0007129,              0.0007129,              0.0007129
                     31,                0.80308,                 1.1389,                  1.426,                0.97558,                0.96592,                0.96539,                0.91502,                 0.4675,                0.90447,                 1.2243,               0.000703,               0.000703,               0.000703
                     32,                0.78666,                 1.1476,                 1.4107,                0.80139,                0.88465,                0.92117,                0.84846,                0.49227,                 1.2086,                 1.1868,              0.0006931,              0.0006931,              0.0006931
                     33,                0.73452,                  1.056,                 1.3856,                 0.8885,                0.88445,                0.96542,                0.90873,                0.45944,                 1.0866,                 1.1993,              0.0006832,              0.0006832,              0.0006832
                     34,                0.77048,                 1.1171,                 1.3905,                 0.9294,                0.92334,                0.96527,                0.92245,                0.43279,                 1.0093,                 1.1914,              0.0006733,              0.0006733,              0.0006733
                     35,                0.73305,                 1.0616,                 1.3657,                0.87152,                0.95419,                0.96529,                0.91011,                0.45327,                 1.0557,                 1.1808,              0.0006634,              0.0006634,              0.0006634
                     36,                0.71493,                0.96251,                 1.3394,                0.95363,                 0.9694,                0.96549,                0.93465,                0.39512,                0.86789,                 1.1389,              0.0006535,              0.0006535,              0.0006535
                     37,                0.72471,                 1.0182,                 1.3413,                0.75039,                0.88136,                0.96271,                 0.8884,                0.43398,                 1.1998,                 1.1318,              0.0006436,              0.0006436,              0.0006436
                     38,                0.69761,                 1.0246,                 1.3153,                0.93382,                 0.9697,                0.96526,                0.91288,                0.42534,                0.83814,                 1.1025,              0.0006337,              0.0006337,              0.0006337
                     39,                0.70625,                0.98579,                 1.3329,                0.95274,                0.92344,                0.96637,                0.91343,                0.42035,                0.81573,                 1.1396,              0.0006238,              0.0006238,              0.0006238
                     40,                0.71242,                0.93396,                 1.3204,                0.97753,                 0.9697,                0.96522,                0.91839,                0.41901,                0.83557,                 1.1227,              0.0006139,              0.0006139,              0.0006139
                     41,                 0.6782,                0.89714,                 1.2799,                0.87735,                0.92462,                0.95657,                0.88574,                0.43666,                 1.0366,                  1.114,               0.000604,               0.000604,               0.000604
                     42,                0.66857,                0.85418,                  1.283,                0.89978,                0.94396,                0.96567,                0.92797,                0.33359,                0.75028,                 1.0633,              0.0005941,              0.0005941,              0.0005941
                     43,                0.61356,                0.88383,                 1.2573,                0.97208,                 0.9697,                0.96555,                0.92876,                0.36409,                0.63738,                 1.1132,              0.0005842,              0.0005842,              0.0005842
                     44,                0.60437,                0.81708,                 1.2594,                0.96558,                0.95614,                0.96913,                0.92571,                0.39634,                0.70888,                 1.1153,              0.0005743,              0.0005743,              0.0005743
                     45,                0.61658,                0.83325,                 1.2566,                0.97549,                 0.9697,                0.96571,                0.94626,                0.33336,                0.66849,                 1.0375,              0.0005644,              0.0005644,              0.0005644
                     46,                0.63892,                0.88652,                  1.251,                0.98249,                 0.9697,                0.96595,                0.93173,                0.34206,                0.60097,                 1.0647,              0.0005545,              0.0005545,              0.0005545
                     47,                0.59182,                0.79939,                 1.2397,                0.98003,                0.96465,                0.96711,                0.92144,                0.36421,                0.59637,                 1.0922,              0.0005446,              0.0005446,              0.0005446
                     48,                0.59843,                0.76693,                 1.2155,                 0.9567,                 0.9634,                0.96908,                0.93459,                0.34456,                 0.6295,                 1.0404,              0.0005347,              0.0005347,              0.0005347
                     49,                0.58676,                0.80197,                 1.2297,                0.94659,                 0.9697,                0.96807,                0.91743,                0.38659,                  0.628,                 1.0776,              0.0005248,              0.0005248,              0.0005248
                     50,                0.60808,                0.78137,                 1.2329,                0.94172,                 0.9697,                 0.9729,                0.94595,                 0.3507,                0.59652,                 1.0873,              0.0005149,              0.0005149,              0.0005149
                     51,                0.64503,                0.79694,                 1.2346,                0.96102,                0.94905,                 0.9677,                0.92725,                0.37727,                0.59419,                 1.0632,               0.000505,               0.000505,               0.000505
                     52,                0.64379,                0.79525,                 1.2323,                0.97337,                0.96286,                0.96805,                0.92714,                0.36641,                 0.5984,                  1.064,              0.0004951,              0.0004951,              0.0004951
                     53,                0.61212,                0.79491,                 1.2263,                0.96655,                0.96904,                0.96638,                0.92403,                0.33701,                0.57003,                 1.0592,              0.0004852,              0.0004852,              0.0004852
                     54,                0.56881,                0.73475,                 1.1776,                 0.9825,                 0.9697,                0.96544,                0.93714,                0.34242,                 0.5943,                 1.0554,              0.0004753,              0.0004753,              0.0004753
                     55,                0.58454,                0.72026,                 1.2048,                0.96632,                0.95494,                0.96559,                0.93515,                0.37856,                0.71211,                   1.08,              0.0004654,              0.0004654,              0.0004654
                     56,                0.55347,                 0.7017,                 1.2008,                0.95017,                 0.9697,                0.96589,                0.94484,                  0.341,                0.58286,                 1.0356,              0.0004555,              0.0004555,              0.0004555
                     57,                0.53073,                0.65649,                 1.1747,                 0.9773,                0.96924,                0.96561,                0.94739,                0.30054,                0.55263,                 1.0087,              0.0004456,              0.0004456,              0.0004456
                     58,                0.53782,                0.71259,                 1.1653,                0.96756,                0.96042,                 0.9656,                0.91559,                 0.4038,                0.58975,                 1.0374,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.5274,                0.68754,                 1.1692,                0.96566,                0.96273,                 0.9658,                0.93551,                0.34695,                0.53211,                  1.029,              0.0004258,              0.0004258,              0.0004258
                     60,                0.54949,                0.67177,                 1.1687,                0.98964,                 0.9697,                0.96551,                0.92874,                0.33121,                0.50498,                 1.0233,              0.0004159,              0.0004159,              0.0004159
                     61,                0.56223,                0.71105,                 1.1689,                0.97892,                 0.9697,                  0.966,                0.94192,                0.35067,                0.65566,                 1.0489,               0.000406,               0.000406,               0.000406
                     62,                0.51349,                0.68725,                 1.1618,                 0.9745,                 0.9697,                0.96551,                0.93959,                0.35063,                0.56756,                 1.0527,              0.0003961,              0.0003961,              0.0003961
                     63,                0.53225,                0.66058,                 1.1476,                0.98035,                0.96852,                0.96548,                0.92221,                0.36019,                0.55282,                 1.0452,              0.0003862,              0.0003862,              0.0003862
                     64,                0.55933,                0.67474,                 1.1824,                0.97623,                  0.925,                0.96561,                 0.9405,                0.31489,                0.54298,                  1.011,              0.0003763,              0.0003763,              0.0003763
                     65,                0.52569,                0.66277,                 1.1601,                0.98333,                 0.9697,                0.96551,                0.94733,                 0.2972,                0.49232,                 1.0078,              0.0003664,              0.0003664,              0.0003664
                     66,                0.55558,                0.70645,                 1.1466,                0.97635,                 0.9697,                0.96548,                0.93348,                0.31245,                0.56737,                 1.0152,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.5385,                0.67832,                 1.1601,                0.97386,                 0.9697,                 0.9654,                 0.9538,                0.27674,                0.61669,                0.99555,              0.0003466,              0.0003466,              0.0003466
                     68,                 0.5074,                0.65745,                 1.1373,                0.88369,                0.90918,                0.96577,                 0.9429,                0.31729,                0.67388,                0.99937,              0.0003367,              0.0003367,              0.0003367
                     69,                 0.4996,                0.59345,                 1.1364,                0.98252,                 0.9697,                0.96696,                0.94978,                0.30766,                0.49518,                 1.0074,              0.0003268,              0.0003268,              0.0003268
                     70,                0.50847,                0.61916,                 1.1364,                  0.988,                0.96864,                0.96615,                0.94406,                0.34897,                0.52128,                 1.0186,              0.0003169,              0.0003169,              0.0003169
                     71,                0.52046,                 0.6031,                 1.1801,                0.97833,                 0.9697,                0.96548,                0.94494,                0.29788,                0.48376,                0.99049,               0.000307,               0.000307,               0.000307
                     72,                0.48396,                0.58044,                 1.1364,                  0.986,                 0.9697,                0.96527,                0.94505,                0.28836,                0.57754,                0.97605,              0.0002971,              0.0002971,              0.0002971
                     73,                0.50454,                0.58582,                 1.1286,                0.98501,                 0.9697,                0.96529,                 0.9478,                0.29215,                0.54639,                0.97978,              0.0002872,              0.0002872,              0.0002872
                     74,                0.45859,                0.58092,                 1.1147,                0.97597,                 0.9697,                0.96545,                 0.9388,                0.31247,                0.48271,                 0.9782,              0.0002773,              0.0002773,              0.0002773
                     75,                0.44248,                0.53476,                 1.1005,                0.97868,                0.96865,                0.96572,                0.94752,                0.29867,                0.45983,                0.99613,              0.0002674,              0.0002674,              0.0002674
                     76,                0.45808,                0.56276,                 1.1097,                 0.9769,                 0.9697,                0.96567,                0.94916,                0.26338,                0.46102,                0.97077,              0.0002575,              0.0002575,              0.0002575
                     77,                0.46362,                 0.5878,                 1.1086,                0.97613,                 0.9697,                0.96541,                0.94884,                0.27069,                0.46963,                 0.9707,              0.0002476,              0.0002476,              0.0002476
                     78,                0.44297,                0.54447,                 1.1036,                0.97522,                0.96952,                0.96537,                0.95293,                0.25899,                0.47375,                0.96805,              0.0002377,              0.0002377,              0.0002377
                     79,                0.46471,                 0.5664,                 1.1028,                0.96686,                0.96646,                0.96535,                0.94727,                0.29217,                0.48175,                0.97277,              0.0002278,              0.0002278,              0.0002278
                     80,                0.46718,                 0.5955,                 1.1083,                0.98811,                0.96771,                0.96553,                0.94915,                0.25111,                 0.4234,                 0.9608,              0.0002179,              0.0002179,              0.0002179
                     81,                0.45006,                0.52216,                  1.099,                0.98822,                 0.9697,                0.96544,                0.93078,                0.34789,                0.46613,                0.98864,               0.000208,               0.000208,               0.000208
                     82,                0.45266,                0.50949,                 1.0907,                0.98797,                 0.9697,                0.96528,                 0.9473,                0.30627,                0.50987,                0.98483,              0.0001981,              0.0001981,              0.0001981
                     83,                0.42963,                0.52657,                 1.0797,                0.96244,                0.96625,                0.96555,                0.95376,                 0.2694,                0.50017,                  0.965,              0.0001882,              0.0001882,              0.0001882
                     84,                0.45751,                0.51439,                 1.0944,                0.97439,                 0.9697,                0.96546,                0.95303,                0.25649,                0.43565,                0.95714,              0.0001783,              0.0001783,              0.0001783
                     85,                0.45127,                0.52894,                 1.0823,                0.98715,                 0.9697,                0.96543,                0.95075,                 0.2506,                0.43345,                0.95483,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.4679,                0.52825,                 1.0886,                0.98812,                 0.9697,                0.96536,                 0.9512,                0.25874,                0.46824,                0.95725,              0.0001585,              0.0001585,              0.0001585
                     87,                0.43919,                0.54784,                  1.097,                0.99129,                 0.9697,                0.96529,                0.95283,                0.24606,                0.50683,                 0.9529,              0.0001486,              0.0001486,              0.0001486
                     88,                0.47844,                0.55174,                 1.1001,                0.98779,                 0.9697,                 0.9653,                 0.9452,                0.30082,                0.53826,                0.97296,              0.0001387,              0.0001387,              0.0001387
                     89,                0.42878,                0.49709,                 1.0806,                0.98758,                 0.9697,                0.96534,                 0.9496,                0.28065,                0.48296,                0.95955,              0.0001288,              0.0001288,              0.0001288
                     90,                0.42132,                0.52561,                 1.0712,                0.98012,                 0.9697,                0.96539,                0.95049,                0.25905,                0.45131,                0.94974,              0.0001189,              0.0001189,              0.0001189
                     91,                0.27564,                0.54448,                 1.0248,                0.99066,                 0.9673,                0.96549,                0.94668,                0.31464,                  0.468,                 1.0162,               0.000109,               0.000109,               0.000109
                     92,                0.25988,                0.49288,                 1.0344,                0.98952,                 0.9697,                0.96608,                0.95133,                0.33011,                0.45974,                 1.0506,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.23925,                0.44578,                 1.0056,                0.99035,                 0.9697,                0.96627,                0.95813,                 0.2615,                 0.4099,                  1.001,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.22271,                0.39445,                0.97506,                0.99015,                 0.9697,                0.96821,                0.96037,                 0.2626,                0.39252,                0.99975,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.19249,                0.34692,                0.96545,                0.98689,                 0.9697,                0.96871,                0.96179,                0.29511,                0.38857,                0.99834,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.20412,                0.35846,                0.97829,                0.98976,                 0.9697,                0.96853,                0.96157,                0.26063,                0.37929,                0.98604,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.19929,                0.45787,                0.96257,                 0.9917,                 0.9697,                0.96836,                0.96055,                0.26392,                0.37584,                0.98699,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.20603,                0.37633,                0.96422,                  0.992,                 0.9697,                0.96807,                0.96021,                0.25459,                0.36964,                0.98359,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.18805,                0.35058,                 0.9516,                0.99186,                 0.9697,                  0.968,                0.96013,                0.25979,                0.37856,                0.98583,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.18748,                  0.357,                0.94685,                0.99118,                 0.9697,                0.96782,                0.95993,                 0.2544,                0.36331,                0.97727,               1.99e-05,               1.99e-05,               1.99e-05
